Time,Ultrasonic_p3_01,Ultrasonic_p4_01,Gyro_p1_01,Rotation_pA_01,Rotation_pD_01,Ultrasonic_p3_02,Ultrasonic_p4_02,Gyro_p1_02,Rotation_pA_02,Rotation_pD_02
31.100,30.300,55.100,0.000,43.939,43.922,-,-,-,-,-,
31.200,29.700,54.600,-1.000,44.081,44.064,-,-,-,-,-,
31.300,32.200,54.600,-1.000,44.225,44.206,-,-,-,-,-,
31.400,33.000,54.400,-2.000,44.364,44.342,-,-,-,-,-,
31.500,32.600,42.000,-2.000,44.503,44.483,-,-,-,-,-,
31.600,33.000,53.800,-2.000,44.644,44.631,-,-,-,-,-,
31.700,34.000,53.400,-2.000,44.786,44.772,-,-,-,-,-,
31.800,34.700,53.200,-3.000,44.928,44.914,-,-,-,-,-,
31.900,32.600,52.700,-3.000,45.069,45.053,-,-,-,-,-,
32.000,35.700,52.300,-4.000,45.211,45.194,-,-,-,-,-,
32.100,35.700,37.400,-4.000,45.350,45.331,-,-,-,-,-,
32.200,36.500,51.500,-5.000,45.492,45.472,-,-,-,-,-,
32.300,37.200,51.500,-6.000,45.633,45.614,-,-,-,-,-,
32.400,38.400,50.600,-8.000,45.781,45.758,-,-,-,-,-,
32.500,39.700,50.400,-9.000,45.922,45.897,-,-,-,-,-,
32.600,40.800,50.400,-10.000,46.061,46.036,-,-,-,-,-,
32.700,42.800,49.800,-10.000,46.203,46.178,-,-,-,-,-,
32.800,42.700,49.200,-11.000,46.347,46.322,-,-,-,-,-,
32.900,43.700,48.100,-13.000,46.486,46.458,-,-,-,-,-,
33.000,44.700,47.500,-14.000,46.631,46.606,-,-,-,-,-,
33.100,46.000,47.400,-15.000,46.769,46.744,-,-,-,-,-,
33.200,46.900,48.300,-17.000,46.911,46.889,-,-,-,-,-,
33.300,48.300,47.500,-18.000,47.056,47.025,-,-,-,-,-,
33.400,50.000,49.800,-19.000,47.197,47.169,-,-,-,-,-,
33.500,51.800,49.200,-20.000,47.336,47.308,-,-,-,-,-,
33.600,51.900,46.400,-21.000,47.478,47.450,-,-,-,-,-,
33.700,57.400,44.700,-22.000,47.619,47.592,-,-,-,-,-,
33.800,55.900,45.200,-24.000,47.764,47.733,-,-,-,-,-,
33.900,59.000,44.300,-27.000,47.903,47.872,-,-,-,-,-,
34.000,59.000,44.600,-30.000,48.047,48.014,-,-,-,-,-,
34.100,59.000,44.700,-33.000,48.192,48.153,-,-,-,-,-,
34.200,59.000,45.600,-35.000,48.328,48.292,-,-,-,-,-,
34.300,59.000,45.600,-37.000,48.469,48.433,-,-,-,-,-,
34.400,65.300,45.600,-39.000,48.614,48.578,-,-,-,-,-,
34.500,65.800,45.600,-42.000,48.753,48.719,-,-,-,-,-,
34.600,83.300,45.200,-44.000,48.897,48.861,-,-,-,-,-,
34.700,83.300,45.400,-46.000,49.036,49.000,-,-,-,-,-,
34.800,83.300,45.400,-48.000,49.175,49.142,-,-,-,-,-,
34.900,83.300,45.400,-51.000,49.328,49.289,-,-,-,-,-,
35.000,47.500,45.400,-53.000,49.458,49.422,-,-,-,-,-,
35.100,46.400,45.400,-54.000,49.600,49.564,-,-,-,-,-,
35.200,45.600,41.100,-55.000,49.742,49.708,-,-,-,-,-,
35.300,43.500,40.300,-56.000,49.886,49.856,-,-,-,-,-,
35.400,42.900,39.900,-56.000,50.025,49.997,-,-,-,-,-,
35.500,41.600,40.800,-57.000,50.167,50.139,-,-,-,-,-,
35.600,42.500,40.400,-59.000,50.306,50.275,-,-,-,-,-,
35.700,39.300,39.900,-61.000,50.450,50.417,-,-,-,-,-,
35.800,38.000,39.900,-64.000,50.594,50.558,-,-,-,-,-,
35.900,37.000,40.100,-66.000,50.733,50.697,-,-,-,-,-,
36.000,36.600,39.900,-68.000,50.878,50.842,-,-,-,-,-,
36.100,35.700,38.300,-70.000,51.022,50.986,-,-,-,-,-,
36.200,35.500,38.300,-71.000,51.156,51.122,-,-,-,-,-,
36.300,34.800,37.000,-74.000,51.297,51.261,-,-,-,-,-,
36.400,34.900,37.000,-76.000,51.442,51.406,-,-,-,-,-,
36.500,34.700,36.500,-77.000,51.583,51.547,-,-,-,-,-,
36.600,34.700,36.500,-78.000,51.719,51.689,-,-,-,-,-,
36.700,34.500,36.500,-79.000,51.858,51.831,-,-,-,-,-,
36.800,34.500,37.200,-79.000,52.003,51.978,-,-,-,-,-,
36.900,35.300,36.500,-79.000,52.142,52.119,-,-,-,-,-,
37.000,34.500,36.500,-79.000,52.281,52.264,-,-,-,-,-,
37.100,33.600,36.400,-79.000,52.419,52.403,-,-,-,-,-,
37.200,35.300,36.500,-78.000,52.561,52.550,-,-,-,-,-,
37.300,34.000,36.400,-78.000,52.703,52.692,-,-,-,-,-,
37.400,34.000,36.400,-78.000,52.842,52.831,-,-,-,-,-,
37.500,34.500,36.100,-78.000,52.986,52.978,-,-,-,-,-,
37.600,34.500,35.700,-78.000,53.125,53.117,-,-,-,-,-,
37.700,34.000,37.000,-78.000,53.264,53.258,-,-,-,-,-,
37.800,34.000,38.400,-78.000,53.408,53.403,-,-,-,-,-,
37.900,34.900,37.000,-78.000,53.547,53.544,-,-,-,-,-,
38.000,34.700,37.400,-77.000,53.686,53.683,-,-,-,-,-,
38.100,33.800,37.400,-77.000,53.831,53.828,-,-,-,-,-,
38.200,34.000,37.600,-77.000,53.969,53.967,-,-,-,-,-,
38.300,34.000,37.600,-77.000,54.117,54.108,-,-,-,-,-,
38.400,34.000,37.600,-77.000,54.256,54.250,-,-,-,-,-,
38.500,34.000,37.600,-77.000,54.392,54.389,-,-,-,-,-,
38.600,34.000,38.000,-77.000,54.533,54.531,-,-,-,-,-,
38.700,34.000,37.600,-76.000,54.678,54.675,-,-,-,-,-,
38.800,34.000,37.600,-76.000,54.817,54.814,-,-,-,-,-,
38.900,33.600,37.600,-76.000,54.964,54.961,-,-,-,-,-,
39.000,34.000,38.900,-76.000,55.103,55.100,-,-,-,-,-,
39.100,32.800,39.100,-76.000,55.244,55.239,-,-,-,-,-,
39.200,33.400,38.000,-76.000,55.383,55.378,-,-,-,-,-,
39.300,33.800,38.000,-76.000,55.525,55.519,-,-,-,-,-,
39.400,33.400,38.500,-76.000,55.664,55.658,-,-,-,-,-,
39.500,34.800,38.300,-76.000,55.808,55.800,-,-,-,-,-,
39.600,34.000,38.500,-75.000,55.950,55.944,-,-,-,-,-,
39.700,33.800,19.000,-75.000,56.094,56.089,-,-,-,-,-,
39.800,32.900,36.200,-75.000,56.236,56.228,-,-,-,-,-,
39.900,33.600,38.300,-75.000,56.375,56.369,-,-,-,-,-,
40.000,34.000,33.800,-75.000,56.517,56.511,-,-,-,-,-,
40.100,33.400,36.500,-75.000,56.658,56.653,-,-,-,-,-,
40.200,33.400,32.600,-75.000,56.797,56.792,-,-,-,-,-,
40.300,32.800,32.100,-75.000,56.936,56.931,-,-,-,-,-,
40.400,32.800,39.700,-75.000,57.081,57.072,-,-,-,-,-,
40.500,32.900,40.100,-75.000,57.219,57.211,-,-,-,-,-,
40.600,33.400,39.900,-75.000,57.356,57.347,-,-,-,-,-,
