Time,Ultrasonic_p3_01,Ultrasonic_p4_01,Gyro_p1_01,Rotation_pA_01,Rotation_pD_01,Ultrasonic_p3_02,Ultrasonic_p4_02,Gyro_p1_02,Rotation_pA_02,Rotation_pD_02
6.600,32.600,75.800,51.000,9.281,9.314,51.500,23.600,15.000,9.286,9.319,
6.700,255.000,75.800,52.000,9.419,9.456,50.600,24.200,16.000,9.428,9.464,
6.800,32.100,60.300,53.000,9.561,9.594,51.500,25.100,17.000,9.567,9.603,
6.900,32.100,56.300,55.000,9.703,9.736,50.400,28.200,18.000,9.708,9.742,
7.000,32.100,56.300,57.000,9.844,9.881,50.000,32.600,19.000,9.853,9.886,
7.100,32.100,56.300,58.000,9.986,10.025,49.600,60.900,19.000,10.000,10.028,
7.200,33.000,56.300,60.000,10.128,10.167,49.100,33.800,19.000,10.142,10.169,
7.300,35.300,56.300,62.000,10.267,10.306,47.900,34.800,20.000,10.286,10.308,
7.400,37.600,43.700,64.000,10.406,10.447,47.900,61.400,21.000,10.419,10.447,
7.500,36.500,42.000,66.000,10.547,10.592,47.500,64.300,24.000,10.561,10.589,
7.600,35.700,40.300,67.000,10.689,10.731,46.400,67.200,25.000,10.703,10.736,
7.700,36.100,39.300,70.000,10.831,10.869,45.400,67.200,27.000,10.844,10.878,
7.800,37.000,38.300,73.000,10.975,11.014,45.200,67.200,27.000,10.981,11.014,
7.900,36.600,36.600,76.000,11.114,11.156,44.700,101.400,28.000,11.125,11.153,
8.000,37.600,35.700,78.000,11.258,11.300,43.500,101.200,29.000,11.264,11.294,
8.100,38.300,34.900,80.000,11.400,11.442,42.700,100.200,29.000,11.408,11.436,
8.200,38.400,33.800,82.000,11.539,11.581,41.200,100.200,29.000,11.550,11.578,
8.300,38.400,33.600,83.000,11.675,11.719,41.000,98.600,30.000,11.689,11.714,
8.400,38.900,34.000,85.000,11.819,11.861,39.300,98.400,30.000,11.833,11.858,
8.500,39.700,32.100,87.000,11.964,12.006,38.900,98.200,31.000,11.975,12.000,
8.600,39.900,32.600,89.000,12.108,12.147,39.300,97.000,32.000,12.117,12.142,
8.700,39.700,32.100,90.000,12.247,12.286,37.200,95.600,33.000,12.256,12.281,
8.800,40.100,32.100,92.000,12.389,12.428,36.600,95.300,33.000,12.400,12.422,
8.900,40.600,32.100,93.000,12.531,12.569,34.800,94.700,33.000,12.536,12.558,
